Programa;Tamanho programa 1;Tamanho programa 2;Tempo processamento 1;Tempo processamento 2;Tempo acumulado CPU 1;Tempo acumulado CPU 2;Indice ocupação 1;Indice ocupação 2;Fator correção 1;Fator correção 2;Tempo médio;Número de acessos;R1;R2;R3;Z;Teta 1;Teta 2
1;68,5602820307365;99,2801410153682;46,8662879950987;228,2228020813800;46,8662879950987;228,2228020813800;53,5627203365129;155,1252203365120;1,50;4,00;1,18;5,185245401244860;0,571830110096431;0,665384987920331;0,480489830936817;-0,535992949231585;34,280141015368200;69,496098710757700
2;85,9883566165662;107,9941783082830;50,0103400558879;202,0741486021930;96,8766280509866;430,2969506835730;67,1784036066923;168,7409036066920;1,50;4,00;1,18;9,055932565957390;0,893207925334834;0,283839871354792;0,590424322771353;-0,100291084585844;42,994178308283100;75,595924815798100
3;176,5254198554090;153,2627099277040;309,5948247816120;358,2439561764010;406,4714528325990;788,5409068599740;137,9104842620380;239,4729842620380;4,00;4,00;1,18;17,765168655225700;0,095398336061909;0,010450640579532;0,527605125768535;2,163135496385230;88,262709927704600;107,283896949393000
4;34,8829109468994;82,4414554734497;32,2892772686923;302,2337241616370;438,7607301012910;1090,7746310216100;27,2522741772651;128,8147741772650;1,00;4,00;1,18;11,481114979191500;0,241691138927468;0,402354064805956;0,341454396275646;-1,377927226327510;17,441455473449700;57,709018831414700
5;82,9698752978193;106,4849376489090;54,3259086387682;242,2048478211540;493,0866387400590;1332,9794788427700;64,8202150764213;166,3827150764210;1,50;4,00;1,18;4,811069303198770;0,868064958288335;0,696409836655404;0,478941947535108;-0,175753117554517;41,484937648909600;74,539456354236700
6;59,0857833373120;94,5428916686560;17,0965718619832;95,1673229434646;510,1832106020420;1428,1468017862300;46,1607682322750;147,7232682322750;1,00;4,00;1,18;9,913348482183260;0,574212060354102;0,381109472008310;0,832980400112434;-0,772855416567198;29,542891668656000;66,180024168059200
7;97,0309770750929;113,5154885375460;42,7529416059338;170,6490740301110;552,9361522079760;1598,7958758163400;75,8054508399163;177,3679508399160;1,50;4,00;1,18;5,340442682928630;0,940110869776702;0,166640010627950;0,632806400306751;0,175774426877324;48,515488537546400;79,460841976282500
8;105,0373419175380;117,5186709587690;48,4325532627297;116,2125539658470;601,3687054707060;1715,0084297821900;82,0604233730770;183,6229233730770;2,00;4,00;1,18;13,284741111039400;0,741807616108554;0,169152835355037;0,849919016529678;0,375933547938466;52,518670958769300;82,263069671138500
9;69,9715303717970;99,9857651858985;30,2613195146993;106,5688489518380;631,6300249854050;1821,5772787340300;54,6652581029664;156,2277581029660;1,50;4,00;1,18;11,618333165903700;0,688027173708013;0,651721342601760;0,831289281028961;-0,500711740705075;34,985765185898500;69,990035630128900
10;61,2432294446084;95,6216147223042;41,2167265315522;337,7985581815500;672,8467515169570;2159,3758369155800;47,8462730036003;149,4087730036000;1,00;4,00;1,18;4,034138711147650;0,122337231634220;0,692969231718900;0,304055185418993;-0,718919263884789;30,621614722304200;66,935130305612900
11;-1,3642356453058;64,3178821773471;13,8095330221762;151,2822865746520;686,6562845391330;2310,6581234902300;-1,0658090978952;100,4966909021040;1,00;4,00;1,18;12,006682405718500;0,057186241072982;0,451961139500660;0,591346953144591;-2,284105891132640;-0,682117822652898;45,022517524142900
12;87,1335347236819;108,5667673618400;26,9288336184612;90,6462674223834;713,5851181575950;2401,3043909126100;68,0730740028765;169,6355740028760;1,50;4,00;1,18;9,852898294527300;0,565920039274116;0,739303362158306;0,864844519120982;-0,071661631907952;43,566767361840900;75,996737153288600
13;106,1702338246150;118,0851169123070;70,2700818796946;200,4160069592100;783,8552000372890;2601,7203978718200;82,9454951754809;184,5079951754800;2,00;4,00;1,18;7,005327590325790;0,542368151486762;0,190456843577949;0,602815094586111;0,404255845615389;53,085116912307700;82,659581838615400
14;154,3351130957020;142,1675565478510;660,5270618415830;837,5410588669830;1444,3822618788700;3439,2614567388000;120,5743071060170;222,1368071060170;4,00;4,00;1,18;10,454622562223400;0,211420511873036;0,932866438846567;0,138062887766645;1,608377827392550;77,167556547851100;99,517289583495800
15;94,6317250932290;112,3158625466140;31,1327713643476;99,4204747675116;1475,5150332432200;3538,6819315063200;73,9310352290851;175,4935352290850;1,50;4,00;1,18;12,337617067343100;0,974682029206901;0,164582219659936;0,877247164313491;0,115793127330725;47,315862546614500;78,621103782630100
16;86,2906133293349;108,1453066646670;144,2291273795930;636,1792424753650;1619,7441606228100;4174,8611739816800;67,4145416635429;168,9770416635420;1,50;4,00;1,18;10,851857159137400;0,995021284139478;0,560691460477843;0,144888991124166;-0,092734666766625;43,145306664667400;75,701714665267200
17;12,5153267950759;71,2576633975379;17,5380344027140;238,2946666070030;1637,2821950255300;4413,1558405886800;9,7775990586531;111,3400990586530;1,00;4,00;1,18;9,752572491238020;0,111637923826113;0,562005727802570;0,381509974282450;-1,937116830123100;6,257663397537960;49,880364378276500
18;182,1925392291840;156,0962696145920;112,9550407979110;120,3772149897630;1750,2372358234400;4533,5330555784500;142,3379212728000;243,9004212728000;4,00;4,00;1,18;16,047852571308000;0,069282742753578;0,988682242348013;0,902925723181010;2,304813480729620;91,096269614592400;109,267388730214000
19;127,8849379424960;128,9424689712480;304,6363861451900;396,1550844227840;2054,8736219686300;4929,6881400012300;99,9101077675754;201,4726077675750;4,00;4,00;1,18;17,431230484826400;0,599962389890484;0,943193925031585;0,419211767276993;0,947123448562413;63,942468971248200;90,259728279873700
20;115,4759072564310;122,7379536282150;155,2726077816730;209,4734951030130;2210,1462297503000;5139,1616351042400;90,2155525440871;191,7780525440870;4,00;4,00;1,18;9,367593263241990;0,343147629736057;0,821706569228427;0,618245903986996;0,636897681410789;57,737953628215700;85,916567539751000
